,,,,,,,,,,,,,,,,,,
MP Threshold,- all -,,,,,,,,,,,MP Threshold,- all -,,,,,
,,,,,,,,,,,,Year,2023,,,,,
Player,MP,Year,Sum of Total Score,,,Player,MP,Year,Sum of Total Score,,,,,,,,,
A.J. Green,132,2023, 20.59 ,,,Nikola Jokić,2476,2022, 62.65 ,,,Player,MP,Sum of Total Score,,d,d,d
A.J. Lawson,7,2023, 1.29 ,,,Giannis Antetokounmpo,1917,2020, 58.77 ,,,A.J. Green,132, 20.59 ,,Nikola Jokić,1168, 56.41 
Aaron Brooks,189,2018, 21.94 ,,,Russell Westbrook,2802,2017, 55.67 ,,,A.J. Lawson,7, 1.29 ,,Luka Dončić,1327, 54.51 
,894,2017, 22.22 ,,,Giannis Antetokounmpo,2204,2022, 54.92 ,,,Aaron Gordon,994, 33.72 ,,Giannis Antetokounmpo,1087, 53.92 
,1108,2016, 25.84 ,,,James Harden,2867,2019, 53.26 ,,,Aaron Holiday,569, 19.26 ,,Joel Embiid,993, 51.99 
,1557,2014, 26.16 ,,,Joel Embiid,2297,2022, 53.14 ,,,Aaron Nesmith,783, 21.12 ,,Anthony Davis,836, 48.56 
,1885,2015, 28.45 ,,,Giannis Antetokounmpo,2358,2019, 52.80 ,,,Aaron Wiggins,552, 21.37 ,,Ja Morant,1068, 47.25 
Aaron Gordon,797,2015, 18.82 ,,,James Harden,2947,2017, 52.49 ,,,Admiral Schofield,333, 21.73 ,,Shai Gilgeous-Alexander,1214, 45.24 
,994,2023, 33.72 ,,,James Harden,2551,2018, 51.70 ,,,AJ Griffin,731, 21.26 ,,Tyrese Haliburton,1241, 45.07 
,1384,2021, 26.33 ,,,Giannis Antetokounmpo,2013,2021, 50.71 ,,,Al Horford,907, 19.20 ,,Stephen Curry,894, 44.80 
,1863,2016, 24.54 ,,,Luka Dončić,2047,2020, 50.09 ,,,Alec Burks,615, 31.37 ,,Zion Williamson,956, 44.68 
,1909,2018, 25.18 ,,,Trae Young,2652,2022, 49.46 ,,,Aleksej Pokusevski,677, 24.59 ,,Domantas Sabonis,1228, 44.40 
,2017,2020, 24.97 ,,,James Harden,2483,2020, 49.23 ,,,Alex Caruso,819, 23.45 ,,Kevin Durant,1335, 44.38 
,2298,2017, 22.99 ,,,Russell Westbrook,2302,2015, 49.13 ,,,Alex Len,40, 18.23 ,,Trae Young,1215, 44.28 
,2376,2022, 26.24 ,,,Stephen Curry,2700,2016, 49.11 ,,,Alize Johnson,30, 17.11 ,,Damian Lillard,884, 42.91 
,2633,2019, 26.11 ,,,Nikola Jokić,2488,2021, 48.89 ,,,Alondes Williams,5, 1.92 ,,LeBron James,1044, 42.30 
Aaron Harrison,17,2017, 4.90 ,,,Russell Westbrook,2750,2016, 48.73 ,,,Alperen Şengün,924, 33.02 ,,James Harden,842, 41.86 
,93,2016, 10.55 ,,,Joel Embiid,1506,2020, 48.70 ,,,Amir Coffey,424, 16.56 ,,Jimmy Butler,869, 41.45 
,233,2018, 10.43 ,,,Luka Dončić,2301,2022, 48.18 ,,,Andre Drummond,417, 39.11 ,,Donovan Mitchell,1285, 41.30 
Aaron Henry,17,2022,-0.09 ,,,LeBron James,3026,2018, 48.13 ,,,Andrew Nembhard,908, 22.55 ,,Devin Booker,1002, 40.06 
Aaron Holiday,569,2023, 19.26 ,,,Joel Embiid,1585,2021, 47.48 ,,,Andrew Wiggins,722, 28.86 ,,Pascal Siakam,1041, 39.64 
,646,2019, 24.72 ,,,Luka Dončić,2262,2021, 47.41 ,,,Anfernee Simons,1248, 29.03 ,,Jayson Tatum,1357, 39.25 
,1021,2022, 26.62 ,,,LeBron James,2316,2020, 47.38 ,,,Anthony Davis,836, 48.56 ,,Bam Adebayo,1234, 39.00 
,1176,2021, 20.82 ,,,Russell Westbrook,2914,2018, 47.12 ,,,Anthony Edwards,1439, 31.82 ,,LaMelo Ball,519, 38.44 
,1617,2020, 23.86 ,,,Trae Young,2125,2021, 46.79 ,,,Anthony Gill,302, 18.09 ,,Jalen Brunson,1183, 38.39 
Aaron Jackson,35,2018, 9.49 ,,,Anthony Davis,1850,2019, 46.79 ,,,Anthony Lamb,598, 18.88 ,,Bradley Beal,806, 38.21 
Aaron Nesmith,574,2022, 15.81 ,,,Trae Young,2120,2020, 46.77 ,,,Austin Reaves,1039, 21.86 ,,Darius Garland,1078, 38.17 
,669,2021, 16.60 ,,,DeMarcus Cousins,2013,2015, 46.72 ,,,Austin Rivers,591, 16.23 ,,Jrue Holiday,879, 38.03 
,783,2023, 21.12 ,,,James Harden,1609,2021, 46.70 ,,,Ayo Dosunmu,983, 21.67 ,,De'Aaron Fox,1123, 37.89 
Aaron Wiggins,552,2023, 21.37 ,,,Joel Embiid,2154,2019, 46.67 ,,,Bam Adebayo,1234, 39.00 ,,DeMar DeRozan,1378, 37.31 
,1209,2022, 18.61 ,,,Nikola Jokić,2504,2019, 46.61 ,,,Ben Simmons,753, 30.16 ,,Paul George,1017, 36.57 
Abdel Nader,145,2022, 14.61 ,,,Anthony Davis,2708,2017, 46.01 ,,,Bennedict Mathurin,1099, 25.32 ,,Kyrie Irving,1018, 36.06 
,355,2021, 23.08 ,,,Stephen Curry,2613,2015, 45.76 ,,,Bismack Biyombo,421, 27.33 ,,Russell Westbrook,975, 35.98 
